doc_i,doc_j,r
A32827,A32833,1
A32836,A50763,0.983
A32839,A69858,0.929
A06785,A06789,0.886
A06789,A06791,0.856
A06788,A06791,0.784
A07886,A51598,0.769
A06785,A06791,0.757
A06786,A06789,0.745
A06786,A06788,0.728
A06788,A06789,0.727
A32827,A32837,0.721
A32833,A32837,0.719
A32827,A32839,0.715
A32833,A32839,0.715
A06785,A06786,0.714
A06789,A51598,0.707
A32827,A32828,0.704
A32828,A32833,0.702
A06786,A06791,0.693
A07594__Circle_of_Commerce,B14801__Free_Trade,0.689
A32827,A51598,0.683
A32833,A51598,0.683
A32827,A69858,0.657
A32833,A69858,0.657
A32827,A32830,0.649
A32830,A32833,0.649
A06785,A51598,0.644
A32838,A69858,0.64
A06791,A51598,0.637
A32830,A51598,0.621
A07886,A32827,0.615
A07886,A32833,0.614
A06789,A07594__Circle_of_Commerce,0.606
A07886,A32839,0.603
A06785,A06788,0.6
A32827,wealth,0.6
A32833,wealth,0.599
A32830,A32839,0.596
A06788,A51598,0.595
A32838,A32839,0.591
A06785,A07594__Circle_of_Commerce,0.589
A32828,A51598,0.589
A06786,A51598,0.587
A32828,A32830,0.584
A06789,A07886,0.583
A06789,A32827,0.582
A07886,A32830,0.582
A06789,A32833,0.581
A07886,A69858,0.575
A32830,wealth,0.571
A32828,A32837,0.565
A32830,A69858,0.563
A06786,A32827,0.555
A06785,A07886,0.552
A06786,A32833,0.552
A07594__Circle_of_Commerce,A51598,0.551
A06788,A07886,0.546
A32827,B14801__Free_Trade,0.546
A32833,B14801__Free_Trade,0.545
A51598,B14801__Free_Trade,0.544
A32833,A50763,0.536
A06785,A32827,0.535
A32827,A50763,0.535
A06785,A32833,0.533
A32828,A32839,0.532
A32833,A32836,0.531
A32827,A32836,0.53
A32828,B14801__Free_Trade,0.526
A32828,wealth,0.525
A06786,A07886,0.524
A32839,A51598,0.523
A32837,A51598,0.516
A32839,B14801__Free_Trade,0.516
A51598,wealth,0.514
A07886,B14801__Free_Trade,0.511
A06791,A07594__Circle_of_Commerce,0.51
A32828,A69858,0.509
A32827,A32829,0.506
A07594__Circle_of_Commerce,A32827,0.505
A32829,A32833,0.504
A07594__Circle_of_Commerce,A32833,0.503
A06788,A32827,0.502
A06788,A32833,0.501
A32829,A32839,0.498
A06789,B14801__Free_Trade,0.497
A32827,A32838,0.496
A06786,wealth,0.496
A32833,A32838,0.495
A07886,A32828,0.493
A06789,A32828,0.492
A69858,B14801__Free_Trade,0.491
A06788,wealth,0.491
A32829,A69858,0.485
A07594__Circle_of_Commerce,A07886,0.48
A06789,A32830,0.48
A51598,A69858,0.477
A06791,A07886,0.47
A07886,wealth,0.47
A32839,wealth,0.47
A06785,A32839,0.465
A07594__Circle_of_Commerce,A32839,0.465
A06786,A06790,0.464
A06789,A32839,0.464
A06791,A32827,0.462
A07594__Circle_of_Commerce,A32828,0.461
A06791,A32833,0.46
A32837,A32839,0.46
A06789,A32829,0.457
A32830,A32837,0.457
A06785,A32830,0.452
A32830,B14801__Free_Trade,0.45
A06786,A07594__Circle_of_Commerce,0.448
A06789,wealth,0.448
A06788,A07594__Circle_of_Commerce,0.44
A06786,A32830,0.44
A06788,A06790,0.439
A32829,wealth,0.437
A06788,A32828,0.436
A69858,wealth,0.436
A32837,A69858,0.435
A06785,B14801__Free_Trade,0.433
A07886,A32838,0.43
A32829,A51598,0.429
A07594__Circle_of_Commerce,A69858,0.429
A06791,wealth,0.429
A07594__Circle_of_Commerce,A32830,0.427
A32837,wealth,0.427
A06786,A32829,0.425
A06785,A32828,0.422
A06785,A69858,0.422
A06785,A32829,0.421
A06789,A69858,0.42
A06788,A32830,0.416
A32830,A32838,0.415
A06791,A32828,0.413
A06785,wealth,0.41
A06788,A32829,0.408
A32828,A32829,0.408
A06791,A32830,0.402
A06786,A32828,0.401
A06789,A32837,0.401
A32829,A32838,0.397
A06788,B14801__Free_Trade,0.392
A06789,A06790,0.39
A07886,A32837,0.39
A32829,A32830,0.386
A07886,A32829,0.384
A06786,A32839,0.382
A06786,A32837,0.38
A32838,A51598,0.38
A06786,A32838,0.377
A06790,A51598,0.377
A06786,B14801__Free_Trade,0.375
A07594__Circle_of_Commerce,A32829,0.372
A06791,A32837,0.371
A32837,B14801__Free_Trade,0.371
A32829,B14801__Free_Trade,0.37
A50763,A51598,0.367
A07594__Circle_of_Commerce,wealth,0.366
A06791,B14801__Free_Trade,0.361
A32838,wealth,0.359
A06790,A06791,0.358
A06786,A50763,0.358
A06786,A32836,0.356
A07886,A50763,0.353
A32836,A51598,0.353
B14801__Free_Trade,wealth,0.353
A06788,A32837,0.351
A06785,A32837,0.348
A06790,A32827,0.347
A06790,A32833,0.346
A06786,A93819,0.344
A06788,A32839,0.34
A06786,A69858,0.339
A06790,A07886,0.337
A07886,A32836,0.335
A06791,A32829,0.334
A07594__Circle_of_Commerce,A32837,0.331
A06785,A06790,0.327
A32829,A32837,0.324
A06785,A32838,0.318
A32828,A32838,0.318
A32838,B14801__Free_Trade,0.31
A06789,A32838,0.309
A07594__Circle_of_Commerce,A32838,0.307
A06790,wealth,0.305
A06788,A69858,0.304
A32830,A50763,0.303
A50763,wealth,0.302
A06791,A32839,0.3
A32839,A50763,0.299
A06788,A32838,0.298
A32837,A32838,0.293
A32830,A32836,0.291
A06790,A50763,0.287
A32836,A32839,0.284
A32836,wealth,0.284
A06790,A32830,0.282
A32828,A50763,0.282
A32837,A50763,0.281
A06790,A32828,0.279
A32836,A32837,0.278
A32836,A93819,0.278
A06790,A32836,0.274
A06789,A50763,0.274
A32828,A32836,0.272
A50763,A93819,0.271
A32827,A93819,0.269
A32833,A93819,0.268
A06789,A32836,0.266
A06785,A50763,0.26
A06785,A32836,0.256
A06791,A69858,0.256
A06785,A93819,0.253
A50763,A69858,0.25
A06788,A50763,0.249
A06790,A32829,0.248
A06788,A32836,0.238
A32836,A69858,0.236
A06790,A07594__Circle_of_Commerce,0.235
A06790,A32837,0.234
A06790,B14801__Free_Trade,0.233
A06791,A32838,0.229
A32829,A50763,0.224
A06789,A93819,0.223
A50763,B14801__Free_Trade,0.222
A32838,A50763,0.221
A06790,A32839,0.22
A32829,A32836,0.217
A32836,A32838,0.214
A06790,A32838,0.212
A32836,B14801__Free_Trade,0.211
A93819,wealth,0.211
A07594__Circle_of_Commerce,A50763,0.208
A07594__Circle_of_Commerce,A32836,0.2
A06791,A50763,0.197
A06790,A69858,0.197
A51598,A93819,0.197
A07886,A93819,0.195
A06791,A32836,0.194
A32839,A93819,0.194
A32838,A93819,0.19
A32830,A93819,0.183
A32837,A93819,0.176
A06790,A93819,0.172
A69858,A93819,0.163
A06788,A93819,0.16
A32829,A93819,0.148
A32828,A93819,0.144
A06791,A93819,0.141
A07594__Circle_of_Commerce,A93819,0.133
A93819,B14801__Free_Trade,0.122
