doc_id,top_terms
A06785,"moneys, misselden, starlin, exchange, circle, realm, doller, undervaluation, royals, stivers, overbalancing, commodities, centre, misselden's, staple"
A06786,"hundreth, ounces, weight, carrats, moneys, factor, assurors, grains, antuerp, silver, unto, ducats, pieces, ship, ducat"
A06788,"sols, silver, livers, realm, dearth, commodities, gold, bodine, price, moneys, velvet, shillings, unto, malestroit, crowns"
A06789,"moneys, starlin, monies, exchange, realm, commodities, shillings, doller, enhancing, price, stivers, pence, albeit, cloth, hundreth"
A06790,"monster, dragon, maketh, moon, unto, tail, sweet, causeth, leaguors, smell, feeding, visions, hell, daughter, destruction"
A06791,"realm, moneys, commodities, exchange, fineness, price, shillings, silver, exchangers, albeit, hundredth, bank, weight, unto, ducats"
A07594__Circle_of_Commerce,"malynes, kingdome, mony, ballance, forraine, owne, lesse, forme, himselfe, gaine, custome, sayd, yeare, losse, meanes"
A07886,"wares, raw-silkes, realm, indigo, indies, aleppo, rawsilke, india, yearly, east, kingdom's, sterling, east-indies, marseilles, concerneth"
A32827,"plantations, abatement, cent, new-england, poor, usury, interest, english, newfoundland, laws, planting, barbadoes, judiciary, planters, shipping"
A32828,"support, mortgage, disposal, purely, promotion, impediments, commerce, advantages, creditors, cent, produce, ministering, instrumental, painful, livelihood, proprietors"
A32829,"packs, stuffs, cloth, wool, broad-cloths, merchant-adventurers, manufactors, foreigners, thousand, growers, african, price, clothiers, ware, chapmen"
A32830,"taffities, muslins, product, india, prime, persuade, improvement, expended, mony, scotch, undeniable, puts, preferable, opposers, damageable, reaped, monkey-faced, sadly, unsensible, parellel, evince, sevenfold, bengalls, raw-silk, farthing-worth, bengals, spittlefields, indian-made, chambricks, callicoe's, scotch-cloaths, indian-sattins, halien, sarsnets, avignions, testified, discourageth, blindly"
A32833,"plantations, abatement, cent, new-england, poor, usury, interest, english, newfoundland, laws, planting, barbadoes, planters, thrive, improvement"
A32836,"poor, parish, fathers, propose, hospitals, pious, assembly, question, quest, elected, election, defect, medal, communication, relating, parishes"
A32837,"cent, usurer, usurers, barbadoss, objection, planters, richest, plantations, use-money, qualifications, lender's, interest, territory, improvement, surplusage, securities, barbadoes, usurer's, gradual"
A32838,"surrat, phirmaund, mogul, bombay, mogul's, guns, india, english, mary, committees, cargoes, kempthorne, frigate, swally, husball, hoocombe, river's"
A32839,"tuns, east-india, seamen, protestant, india, charter, bengall, company, regulated, suratt, silk, legitimate, european, english, bantam, joint-stock"
A50763,"poor, parish, fathers, goals, propose, hospitals, assembly, design, communication, elected, election, dorchester, medal, sessions, fills"
A51598,"wares, treasure, genova, foreign, moneys, realm, exchange, gain, divers, feats, country's, wonders, exportations, insurance, subjects"
A69858,"india, surrat, east-india, bantam, tuns, company, charter, bombay, naval, deck, legitimate, bengall, joint, argu, bengal"
A93819,"lion-key, stairs, edmond, wiseman, defendant, wharfige, london-bridge, surveyors, thames, enrolled, wharves, wharf, keys, defendants, planking, prosecutors, billingsgate"
B14801__Free_Trade,"kingdome, common-wealth, forreine, gouernment, maiesties, non-latin, alphabet, subiects, vnder, christendome, publique, owne, selfe, euery, beene, maiestie"
wealth,"labor, however, capital, revenue, expense, system, productive, produce, different, century, rent, frequently, britain, nearly, colonies"
